location_id,state,remoteness_area,sa4_name,lga_name,road_type
L910,SA,Outer Regional Australia,South Australia - South East,Wattle Range,Sub-arterial Road
L911,VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,National or State Highway
L912,NSW,Major Cities of Australia,Sydney - Ryde,Hornsby,Local Road
L913,TAS,Inner Regional Australia,Launceston and North East,Launceston,National or State Highway
L914,SA,Remote Australia,South Australia - Outback,Unincorporated SA,Arterial Road
L915,VIC,Major Cities of Australia,Melbourne - Inner,Merri-bek,Sub-arterial Road
L916,SA,Inner Regional Australia,South Australia - South East,Alexandrina,Local Road
L917,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast,Arterial Road
L918,QLD,Inner Regional Australia,Ipswich,Somerset,National or State Highway
L919,TAS,Outer Regional Australia,West and North West,Burnie,Collector Road
L920,NSW,Inner Regional Australia,Riverina,Lockhart,Arterial Road
